TARGET;AGE;SOCSTATUS_WORK_FL;SOCSTATUS_PENS_FL;GENDER;EDUCATION;MARITAL_STATUS;ORG_TP_STATE;JOB_DIR;PERSONAL_INCOME;OWN_AUTO;WORK_TIME;LOAN_MAX_DLQ_AMT
0;49;1;0;1;Среднее специальное;Состою в браке;Частная компания;Вспомогательный техперсонал;5000;0;18;1580
0;32;1;0;1;Среднее;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;12000;0;97;4020
0;52;1;0;1;Неполное среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;9000;0;84;0
0;39;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;25000;0;168;1590
0;30;1;0;0;Среднее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;12000;0;101;2230
0;29;1;0;0;Среднее;Гражданский брак;Частная компания;Адм-хоз. и трансп. службы;12000;1;40;0
0;35;1;0;0;Высшее;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;15000;0;6;0
0;41;1;0;1;Среднее;Состою в браке;Частная компания;Участие в основ. деятельности;6000;0;6;0
0;53;1;0;0;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;100000;0;156;0
0;43;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;7000;0;72;0
0;54;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Пр-техн. обесп. и телеком.;19000;0;120;0
1;26;1;0;0;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;18000;0;27;0
1;62;0;1;0;Среднее;Гражданский брак;Частная компания;Участие в основ. деятельности;7000;1;48;0
0;45;1;0;1;Среднее специальное;Разведен(а);Государственная комп./учреж.;Служба безопасности;12000;0;72;810
0;38;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;20000;0;120;0
1;41;1;0;1;Высшее;Разведен(а);Индивидуальный предприниматель;Участие в основ. деятельности;60000;0;168;0
0;65;0;1;1;Среднее специальное;Состою в браке;;;10000;0;;0
0;29;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;5200;0;8;0
1;34;1;0;0;Среднее;Гражданский брак;Частная компания;Участие в основ. деятельности;35000;0;13;1439,94
0;28;1;0;1;Высшее;Не состоял в браке;Частная компания;Участие в основ. деятельности;15000;0;60;0
0;37;1;0;1;Высшее;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;0;192;0
0;42;1;0;1;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;10000;0;76;0
0;45;1;0;1;Высшее;Разведен(а);Государственная комп./учреж.;Участие в основ. деятельности;14000;0;120;0
0;32;1;0;1;Среднее специальное;Не состоял в браке;Государственная комп./учреж.;Участие в основ. деятельности;10000;1;108;0
0;33;1;0;1;Среднее специальное;Состою в браке;Индивидуальный предприниматель;Участие в основ. деятельности;8000;0;24;0
0;38;1;0;1;Среднее специальное;Не состоял в браке;Индивидуальный предприниматель;Участие в основ. деятельности;13000;0;18;2742,25
0;27;1;0;1;Высшее;Состою в браке;Частная компания;Участие в основ. деятельности;12500;1;60;1411,31
1;31;1;0;1;Среднее специальное;Состою в браке;Государственная комп./учреж.;Участие в основ. деятельности;12000;0;15;5760
0;40;1;0;0;Среднее специальное;Состою в браке;Частная компания;Участие в основ. деятельности;20000;0;2;0
